Year,Adjuntas,Aguada,Aguadilla,Aguas Buenas,Aibonito,Añasco,Arecibo,Arroyo,Barceloneta,Barranquitas,Bayamon,Cabo Rojo,Caguas,Camuy,Canovanas,Carolina,Cataño,Cayey,Ceiba,Ciales,Cidra,Coamo,Comerio,Corozal,Culebra,Dorado,Fajardo,Florida,Guanica,Guayama,Guayanilla,Guaynabo,Gurabo,Hatillo,Hormigueros,Humacao,Isabela,Jayuya,Juana Diaz,Juncos,Lajas,Lares,Las Marias,Las Piedras,Loiza,Luquillo,Manati,Maricao,Maunabo,Mayaguez,Moca,Morovis,Naguabo,Naranjito,Orocovis,Patillas,Peñuelas,Ponce,Quebradillas,Rincon,Rio Grande,Sabana Grande,Salinas,San German,San Juan,San Lorenzo,San Sebastian,Santa Isabel,Toa Alta,Toa Baja,Trujillo Alto,Utuado,Vega Alta,Vega Baja,Vieques,Villalba,Yabucoa,Yauco
2017,40,105,130,65,55,65,195,35,60,65,265,45,185,95,65,145,30,105,20,55,100,60,35,75,0,60,45,55,35,60,65,65,70,95,35,165,120,50,70,80,50,65,10,75,25,25,105,10,35,105,100,65,40,95,60,40,50,225,65,35,35,40,70,60,235,65,110,30,100,115,60,60,110,85,5,55,95,75
2016,45,120,140,75,60,65,240,30,60,65,320,50,220,110,65,155,35,120,25,65,105,75,35,80,5,70,45,55,35,70,70,65,75,100,35,185,145,50,80,95,60,80,10,75,25,25,110,5,40,105,115,70,45,110,65,50,55,250,65,40,40,45,75,65,270,75,125,30,120,125,60,65,125,90,5,60,105,85
2015,40,135,150,70,70,70,285,25,65,65,340,60,245,120,80,165,35,125,20,75,110,90,40,95,5,65,50,65,50,80,85,60,75,110,30,190,155,60,75,95,60,90,10,70,25,25,130,5,45,105,125,75,45,110,70,55,50,270,80,40,45,60,75,70,300,90,135,30,125,155,65,75,140,100,5,60,130,105
2014,45,125,160,75,75,70,305,35,75,80,370,65,265,135,85,180,40,150,25,80,120,105,40,100,0,85,55,70,45,95,65,70,90,115,30,145,175,65,75,105,60,115,25,80,25,25,130,10,50,110,130,100,50,120,70,60,55,320,85,40,90,65,90,75,305,100,145,30,125,165,75,75,95,155,5,60,135,105
2013,45,130,175,90,85,75,335,40,85,90,400,70,295,140,90,205,40,155,25,90,135,110,45,105,0,90,60,70,55,90,90,70,95,115,30,205,170,70,75,105,70,125,20,90,25,25,145,10,60,130,145,90,50,135,80,65,60,345,90,45,50,55,85,75,335,110,160,35,150,170,80,80,160,135,5,65,140,110
2012,45,145,195,80,95,75,360,45,85,95,420,75,300,145,90,225,50,170,20,80,150,110,55,105,0,85,70,75,65,95,90,90,100,115,30,210,190,75,75,105,70,125,15,95,25,30,150,10,70,140,145,100,55,155,90,75,65,340,100,45,60,60,90,75,355,115,180,35,155,180,85,90,175,150,10,70,150,130
2011,45,150,205,85,95,85,360,45,90,110,465,65,290,145,90,255,50,185,30,95,150,105,55,120,0,90,65,75,70,105,90,85,100,120,25,190,185,70,90,105,60,135,20,105,30,30,165,10,75,160,155,105,65,150,110,85,65,325,110,40,60,70,100,75,360,110,170,35,175,195,85,90,180,155,10,65,155,140
2010,40,145,195,75,95,80,380,45,95,120,455,75,300,140,110,245,65,175,35,95,145,110,45,130,0,90,65,65,70,125,85,70,100,110,35,195,165,80,80,105,55,140,15,110,30,30,155,15,80,160,150,105,65,165,110,90,75,330,120,35,60,60,85,65,365,110,160,40,165,205,90,95,195,165,10,65,155,140
2009,50,140,185,70,100,95,355,55,95,125,480,80,340,140,115,275,60,195,40,100,140,110,45,135,0,75,70,75,55,115,65,60,100,110,35,195,180,75,80,110,60,135,10,100,30,30,140,10,85,160,150,95,65,170,105,95,65,310,120,45,55,75,90,75,395,110,150,45,160,190,90,85,190,165,10,70,145,125
2008,45,130,190,75,95,80,325,50,85,125,435,80,315,120,110,265,120,200,30,85,145,100,50,135,0,70,70,75,55,95,70,80,90,110,35,180,175,65,80,120,55,115,15,110,40,30,140,10,75,155,140,95,65,175,120,80,60,325,110,40,35,60,95,80,395,105,130,35,155,145,80,95,125,195,25,70,140,125
