Year,Adjuntas,Aguada,Aguadilla,Aguas Buenas,Aibonito,Añasco,Arecibo,Arroyo,Barceloneta,Barranquitas,Bayamon,Cabo Rojo,Caguas,Camuy,Canovanas,Carolina,Cataño,Cayey,Ceiba,Ciales,Cidra,Coamo,Comerio,Corozal,Culebra,Dorado,Fajardo,Florida,Guanica,Guayama,Guayanilla,Guaynabo,Gurabo,Hatillo,Hormigueros,Humacao,Isabela,Jayuya,Juana Diaz,Juncos,Lajas,Lares,Las Marias,Las Piedras,Loiza,Luquillo,Manati,Maricao,Maunabo,Mayaguez,Moca,Morovis,Naguabo,Naranjito,Orocovis,Patillas,Peñuelas,Ponce,Quebradillas,Rincon,Rio Grande,Sabana Grande,Salinas,San German,San Juan,San Lorenzo,San Sebastian,Santa Isabel,Toa Alta,Toa Baja,Trujillo Alto,Utuado,Vega Alta,Vega Baja,Vieques,Villalba,Yabucoa,Yauco
2017,1295,2890,5015,1950,2210,2590,9035,1420,1950,1700,20135,4800,13055,2710,3650,15435,1950,4355,1160,1425,2585,2615,1260,2420,135,2635,3190,1275,1710,2450,2515,8915,2835,2940,2075,6785,3310,1030,3070,2925,2380,2455,405,2625,1375,1605,3615,445,950,8995,2615,1820,1885,2200,1380,1525,1620,14675,2140,1485,2265,2440,2130,3250,38350,2900,3865,1535,3910,7170,4925,2365,3785,3605,685,1680,2635,3485
2016,1305,2910,5175,1930,2180,2580,9225,1470,2020,1685,20425,4865,13200,2750,3630,15515,2010,4335,1190,1445,2570,2705,1265,2445,135,2655,3335,1275,1730,2525,2535,8890,2855,2955,2065,6810,3410,1040,3085,2935,2375,2425,390,2615,1365,1615,3680,435,960,9065,2600,1840,1915,2180,1355,1545,1615,14710,2195,1485,2330,2425,2200,3245,38775,2915,3905,1580,3915,7245,4935,2410,3895,3640,715,1655,2700,3455
2015,1270,2790,5070,1910,2150,2530,9090,1425,1955,1645,20195,4745,12955,2700,3570,15230,1965,4250,1165,1395,2475,2610,1240,2360,120,2570,3320,1205,1720,2450,2480,8695,2760,2920,2010,6580,3330,995,2990,2815,2330,2360,375,2535,1300,1605,3580,410,940,8960,2535,1805,1885,2100,1305,1495,1560,14460,2160,1435,2280,2395,2120,3205,38345,2815,3850,1545,3765,7065,4795,2390,3850,3575,710,1615,2600,3350
2014,1245,2670,4985,1865,2110,2315,8920,1420,1895,1590,19565,4660,12675,2470,3610,16055,2255,4145,1155,1345,2435,2550,1200,2280,120,2480,3350,1165,1695,3025,1625,8630,2725,2865,2000,4715,3290,975,2935,2715,2315,2295,670,2440,1330,1535,3500,395,930,8805,2405,2160,1865,2035,1150,1465,1525,14240,2115,1390,3710,2360,2245,3190,36435,2700,3735,1520,3575,6900,4875,2340,2285,4745,705,1580,2490,3295
2013,1215,2565,4905,1805,2040,2360,8755,1360,1805,1565,19740,4525,12445,2575,3340,14630,1915,4040,1140,1315,2320,2505,1150,2190,115,2390,3305,1120,1605,2340,2380,8460,2580,2800,1955,6130,3135,935,2855,2650,2255,2260,330,2350,1255,1505,3415,385,890,8690,2315,1670,1830,1970,1250,1445,1465,13910,2035,1355,2180,2340,2025,3080,37445,2635,3630,1510,3435,6655,4540,2285,3705,3355,705,1520,2410,3225
2012,1170,2480,4770,1760,1950,2260,8545,1325,1725,1490,19405,4405,12165,2490,3225,14205,1865,3945,1105,1245,2190,2395,1105,2105,115,2275,3230,1085,1595,2260,2315,8260,2495,2725,1915,5880,3095,910,2725,2605,2215,2175,310,2245,1210,1465,3340,370,840,8495,2200,1620,1755,1910,1210,1420,1430,13505,1980,1340,2115,2255,1975,3015,36990,2555,3540,1490,3280,6400,4360,2235,3625,3220,680,1455,2350,3120
2011,1110,2350,4580,1690,1915,2165,8270,1255,1640,1435,19065,4265,11815,2415,3055,13835,1820,3810,1065,1200,2065,2320,1065,2040,110,2140,3140,1040,1545,2180,2210,8050,2370,2655,1830,5680,2965,885,2630,2495,2135,2130,280,2140,1155,1400,3270,365,830,8335,2090,1545,1700,1815,1155,1340,1385,13175,1875,1300,2055,2170,1890,2920,36585,2485,3410,1445,3120,6155,4175,2150,3575,3090,670,1415,2260,3015
2010,1080,2215,4415,1620,1860,2115,8005,1225,1590,1405,18660,4140,11410,2325,2930,11680,2140,3680,1025,1160,1965,2220,1025,1990,105,2020,3050,990,1460,2375,2125,6910,2290,2555,1790,5450,2860,835,2535,2330,2060,2075,255,2050,1125,1360,3195,340,790,8060,1995,1495,1660,1745,1120,1280,1305,12810,1825,1225,1940,2090,1540,2810,38425,2390,3265,1385,2935,5920,4035,2090,3480,2945,655,1335,2205,2905
2009,1050,2145,4250,1555,1805,2090,7710,1170,1525,1340,18965,4030,11605,2210,2790,11975,2195,3550,1010,1135,1875,2175,1010,1920,105,1940,2965,955,1435,2290,2085,4785,2170,2460,1725,5250,2775,800,2430,2235,1995,2025,180,1950,1075,1305,3095,325,775,7890,1900,1425,1590,1675,1085,1245,1255,11820,1755,1170,1910,2050,1505,2730,38520,2320,3140,1335,2795,5675,3850,2030,3390,2790,655,1260,2115,2840
2008,1015,2065,4155,1500,1735,1945,7530,1145,1445,1310,17870,3920,10690,2165,2655,10990,3345,3485,940,1080,1785,2115,990,1890,100,1845,2910,920,1385,2105,1900,6520,2045,2350,1820,5040,2695,775,2355,2150,1910,1920,205,1865,1055,1250,3030,325,740,7765,1830,1370,1495,1595,1085,1220,1195,12130,1700,1140,1625,1905,1615,2735,37355,2245,3070,1255,2670,3990,3670,1960,2115,3810,815,1215,2030,2705
