Year,Adjuntas,Aguada,Aguadilla,Aguas Buenas,Aibonito,Añasco,Arecibo,Arroyo,Barceloneta,Barranquitas,Bayamon,Cabo Rojo,Caguas,Camuy,Canovanas,Carolina,Cataño,Cayey,Ceiba,Ciales,Cidra,Coamo,Comerio,Corozal,Culebra,Dorado,Fajardo,Florida,Guanica,Guayama,Guayanilla,Guaynabo,Gurabo,Hatillo,Hormigueros,Humacao,Isabela,Jayuya,Juana Diaz,Juncos,Lajas,Lares,Las Marias,Las Piedras,Loiza,Luquillo,Manati,Maricao,Maunabo,Mayaguez,Moca,Morovis,Naguabo,Naranjito,Orocovis,Patillas,Peñuelas,Ponce,Quebradillas,Rincon,Rio Grande,Sabana Grande,Salinas,San German,San Juan,San Lorenzo,San Sebastian,Santa Isabel,Toa Alta,Toa Baja,Trujillo Alto,Utuado,Vega Alta,Vega Baja,Vieques,Villalba,Yabucoa,Yauco
2017,80,115,210,75,85,115,255,60,65,100,575,195,405,95,140,380,80,170,50,65,100,105,50,105,5,80,105,45,60,115,115,225,80,95,60,230,155,65,150,90,100,110,20,100,70,55,130,20,55,285,115,90,80,125,95,85,100,580,80,45,70,80,75,120,1120,110,150,65,155,220,155,115,135,140,25,90,125,150
2016,85,125,210,85,90,125,260,70,70,100,625,210,425,95,145,410,90,190,50,70,110,110,55,115,5,90,115,45,70,115,120,235,90,100,60,230,165,70,165,100,105,120,20,95,65,50,135,20,50,300,115,95,85,125,95,75,105,615,85,55,75,85,80,130,1160,120,160,75,160,235,150,125,135,145,20,105,125,155
2015,80,130,210,80,90,115,280,55,65,110,655,210,440,95,155,435,100,185,50,60,110,130,65,120,5,105,115,45,70,120,115,225,85,110,60,235,165,60,170,100,105,115,20,100,65,60,135,20,55,300,130,100,85,120,100,85,105,645,90,60,85,75,85,130,1215,115,150,85,155,255,155,125,145,155,25,110,140,165
2014,90,145,230,80,90,115,280,55,65,125,660,215,430,100,160,445,115,180,50,65,110,145,65,115,5,100,110,55,70,145,80,235,100,115,50,180,165,65,175,105,115,120,30,85,65,50,140,20,50,320,135,120,85,120,100,80,100,665,90,55,135,80,100,125,1220,125,180,85,170,270,160,135,100,195,30,115,140,180
2013,95,140,230,90,90,115,290,60,65,115,690,230,420,115,155,425,105,185,50,80,105,145,60,105,5,105,120,55,70,115,120,225,110,120,55,255,175,70,185,110,120,130,20,80,65,55,140,20,55,315,130,110,90,115,105,90,115,675,95,55,85,90,100,140,1320,130,190,80,165,285,165,140,155,160,35,125,150,185
2012,85,140,235,95,95,110,310,60,75,115,700,230,440,125,160,450,105,185,45,80,105,145,70,100,5,110,125,60,85,110,135,235,115,125,65,255,170,70,205,120,125,135,20,80,70,55,145,25,50,330,120,110,90,120,100,90,110,685,100,60,90,100,105,135,1305,135,185,90,175,290,165,135,160,155,25,115,155,195
2011,100,140,245,85,105,120,300,60,90,115,705,230,455,125,170,475,115,185,50,75,95,150,60,95,5,105,140,50,80,120,130,230,120,130,60,255,175,70,200,110,115,140,25,85,75,55,140,25,55,340,130,115,95,130,105,95,115,695,95,65,95,105,110,140,1320,140,205,95,180,295,160,150,175,155,30,115,145,205
2010,95,145,250,85,100,130,315,60,95,115,715,235,465,130,170,445,130,200,50,85,100,155,60,110,5,95,130,60,85,155,120,220,120,130,60,260,180,75,190,115,130,140,25,75,80,60,140,25,55,335,135,120,110,130,110,95,110,715,100,65,95,115,90,140,1420,165,205,100,175,295,145,155,180,150,35,115,145,205
2009,90,145,250,90,95,135,335,70,95,115,805,230,510,130,175,495,95,195,50,75,105,160,70,115,5,105,155,65,80,155,135,155,125,120,55,285,180,80,195,125,130,150,15,90,75,75,135,30,65,330,145,125,115,125,115,95,110,685,105,70,100,115,85,145,1510,165,195,95,185,305,145,155,180,135,35,120,150,195
2008,90,140,235,95,105,125,355,70,90,115,765,220,480,130,190,505,200,205,40,80,100,175,65,120,0,115,160,65,85,130,140,245,120,130,85,275,175,70,195,115,135,165,20,90,75,80,145,30,65,340,130,125,105,135,110,110,120,745,115,65,70,110,105,135,1440,160,200,95,180,215,155,150,130,195,55,105,155,205
