Year,Adjuntas,Aguada,Aguadilla,Aguas Buenas,Aibonito,Anasco,Arecibo,Arroyo,Barceloneta,Barranquitas,Bayamon,Cabo Rojo,Caguas,Camuy,Canovanas,Carolina,Catano,Cayey,Ceiba,Ciales,Cidra,Coamo,Comerio,Corozal,Culebra,Dorado,Fajardo,Florida,Guanica,Guayama,Guayanilla,Guaynabo,Gurabo,Hatillo,Hormigueros,Humacao,Isabela,Jayuya,Juana Diaz,Juncos,Lajas,Lares,Las Marias,Las Piedras,Loiza,Luquillo,Manati,Maricao,Maunabo,Mayaguez,Moca,Morovis,Naguabo,Naranjito,Orocovis,Patillas,Penuelas,Ponce,Quebradillas,Rincon,Rio Grande,Sabana Grande,Salinas,San German,San Juan,San Lorenzo,San Sebastian,Santa Isabel,Toa Alta,Toa Baja,Trujillo Alto,Utuado,Vega Alta,Vega Baja,Vieques,Villalba,Yabucoa,Yauco
2017,1215,2670,4495,1790,1825,2195,7120,1245,1620,1555,14610,3980,9735,2530,3075,10760,1530,3765,980,1415,2345,2400,1160,2245,140,2295,2545,1190,1590,2220,2265,5990,2390,2530,1590,5575,2950,1005,2865,2515,2140,2365,370,2290,1155,1385,3075,410,895,6780,2485,1725,1750,1950,1285,1490,1525,11780,1890,1260,1815,1950,1995,2780,26910,2535,3650,1360,3410,5520,3595,2305,3260,2860,645,1540,2480,3020
2016,1200,2645,4545,1760,1825,2180,7230,1250,1635,1525,14700,3995,9790,2510,3075,10860,1560,3730,1000,1400,2290,2430,1150,2230,150,2295,2600,1190,1610,2245,2265,5945,2385,2515,1585,5635,3020,990,2845,2500,2120,2380,365,2265,1135,1395,3065,400,910,6775,2435,1700,1770,1945,1270,1485,1540,11795,1935,1255,1860,1950,2010,2765,27055,2525,3680,1370,3330,5540,3620,2270,3295,2915,650,1530,2475,3000
2015,1145,2555,4470,1705,1755,2135,7160,1225,1630,1485,14540,3940,9680,2420,3025,10675,1515,3630,1000,1395,2180,2370,1130,2145,145,2240,2585,1160,1590,2205,2250,5785,2305,2475,1570,5490,2965,965,2755,2415,2090,2305,370,2200,1080,1375,2975,400,885,6670,2365,1665,1720,1880,1250,1425,1510,11610,1905,1235,1860,1890,1945,2705,26680,2465,3605,1350,3215,5470,3545,2225,3225,2865,655,1480,2390,2930
2014,1125,2475,4340,1660,1700,1950,7075,1190,1570,1445,14040,3865,9455,2180,3145,11275,1810,3535,990,1325,2110,2305,1100,2090,145,2160,2580,1145,1545,2605,1545,5830,2310,2465,1555,3865,2960,930,2670,2290,2040,2280,670,2145,1095,1310,2880,395,885,6585,2310,1965,1690,1815,1105,1395,1485,11330,1870,1195,3065,1865,2065,2640,25310,2415,3530,1315,3075,5435,3585,2165,1895,3860,645,1435,2320,2845
2013,1100,2395,4295,1630,1645,2060,6995,1185,1550,1375,14210,3810,9295,2305,2905,10335,1455,3445,975,1290,2000,2235,1050,2045,140,2110,2580,1100,1520,2055,2085,5635,2175,2445,1525,5165,2860,885,2570,2280,2010,2230,325,2075,1065,1295,2830,365,860,6450,2230,1590,1670,1770,1185,1325,1425,11100,1840,1190,1700,1850,1830,2560,26000,2345,3440,1285,3000,5310,3355,2095,3150,2730,635,1390,2235,2750
2012,1065,2290,4120,1555,1595,2010,6855,1175,1480,1330,14030,3705,9110,2250,2790,10165,1440,3320,960,1235,1905,2120,1025,1995,140,2015,2520,1080,1475,1970,2030,5505,2115,2375,1485,4970,2785,850,2495,2195,1945,2135,310,2005,1015,1265,2760,350,845,6280,2140,1535,1600,1710,1135,1290,1370,10740,1795,1160,1680,1805,1745,2545,25575,2265,3350,1270,2870,5165,3300,2035,3075,2650,640,1320,2165,2670
2011,1020,2160,3965,1510,1560,1960,6665,1140,1460,1265,13830,3605,8810,2135,2670,9895,1445,3190,915,1210,1805,2035,985,1910,120,1950,2470,1010,1390,1890,1970,5350,2055,2300,1420,4760,2680,805,2400,2110,1880,2055,305,1915,1000,1215,2700,340,800,6210,2060,1495,1560,1615,1080,1245,1300,10400,1690,1120,1630,1750,1685,2465,25175,2195,3235,1235,2715,4985,3180,1970,3050,2520,630,1245,2095,2610
2010,980,2065,3820,1460,1530,1875,6540,1095,1405,1200,13555,3520,8530,2075,2595,8595,1705,3110,895,1175,1720,1945,955,1875,115,1800,2420,945,1340,2075,1885,4690,1960,2205,1390,4585,2590,780,2285,2070,1775,1975,290,1825,940,1170,2635,330,770,6065,1955,1425,1515,1560,1060,1200,1255,10085,1640,1075,1535,1710,1370,2380,26100,2110,3140,1175,2595,4775,3045,1900,2970,2430,610,1190,2010,2530
2009,925,2000,3685,1395,1485,1835,6300,1045,1340,1165,13860,3480,8700,2010,2505,8750,1545,3015,845,1120,1600,1850,910,1810,110,1715,2385,900,1295,2000,1845,3500,1890,2125,1345,4415,2475,745,2170,1970,1720,1900,215,1735,895,1120,2560,320,745,5965,1840,1370,1470,1515,995,1160,1220,9280,1615,1045,1510,1665,1310,2330,26005,2070,3000,1115,2460,4615,2940,1840,2850,2365,585,1150,1940,2440
2008,885,1930,3635,1385,1420,1705,6160,995,1300,1160,13000,3385,7950,1975,2375,8215,2605,2935,825,1080,1505,1830,900,1715,110,1615,2315,870,1260,1890,1685,4465,1825,2075,1425,4175,2400,720,2095,1905,1640,1855,235,1700,885,1055,2500,320,705,5850,1770,1330,1385,1465,970,1120,1175,9515,1580,1020,1345,1535,1400,2340,25255,2000,2905,1065,2310,3375,2810,1755,1765,3225,695,1095,1855,2390
2007,870,1865,3550,1360,1405,1675,6030,965,1255,1090,12745,3270,7705,1890,2260,7950,2570,2835,780,1070,1445,1765,875,1665,100,1560,2260,850,1220,1780,1705,4325,1750,2000,1385,4070,2335,700,1985,1865,1610,1810,225,1605,865,1030,2450,325,680,5755,1720,1270,1350,1425,950,1105,1125,9360,1515,980,1340,1510,1285,2245,25250,1975,2820,1045,2225,3265,2730,1735,1680,3125,640,1055,1800,2295
2006,860,1795,3440,1315,1370,1645,5895,935,1210,1065,12570,3200,7545,1845,2185,7655,2540,2725,775,1020,1400,1705,835,1590,100,1490,2230,810,1190,1775,1655,4275,1655,1940,1340,3820,2250,675,1945,1805,1555,1790,215,1580,845,1030,2365,320,650,5595,1665,1235,1310,1380,930,1085,1105,9225,1450,940,1415,1480,1210,2185,25205,1910,2730,1020,2135,3190,2625,1675,1630,3045,605,1010,1770,2215
2005,835,1725,3335,1285,1340,1580,5750,895,1170,1055,12355,3100,7370,1790,2065,7365,2475,2660,755,985,1350,1650,815,1555,100,1425,2175,780,1170,1735,1625,4205,1595,1895,1295,3665,2165,660,1875,1750,1540,1760,195,1520,820,995,2330,305,645,5565,1620,1190,1265,1330,910,1060,1080,9090,1400,915,1445,1435,1140,2130,25045,1855,2660,975,2030,3065,2540,1635,1580,2935,600,980,1710,2185
2004,810,1815,3285,1265,1300,1535,5650,870,1215,1030,12265,3010,7245,1715,1460,7245,2460,2610,725,980,1315,1620,815,1495,100,1380,2115,700,1120,1580,1585,4140,1545,1835,1260,3700,2110,645,1800,1695,1480,1735,190,1550,1235,865,2280,300,630,5525,1575,1175,1245,1285,890,1040,1045,8980,1345,880,1415,1410,1300,2090,25270,1795,2615,935,1970,2975,2430,1440,2385,2020,590,995,1675,2115
2003,820,1755,3205,1235,1275,1470,5575,840,1190,1010,12035,2945,7130,1650,1410,6990,2430,2535,690,970,1275,1580,800,1420,95,1305,2085,690,1080,1510,1535,4115,1485,1775,1220,3540,2050,645,1755,1665,1460,1700,180,1500,1195,860,2220,310,605,5445,1530,1140,1240,1270,870,1000,1025,8860,1305,835,1420,1355,1280,2075,25260,1755,2550,910,1865,2890,2375,1465,2350,1970,580,970,1620,2040
2002,820,1695,3115,1210,1225,1420,5435,805,1180,985,11795,2885,6975,1600,1360,6795,2360,2470,660,955,1250,1560,755,1400,100,1275,2050,660,1070,1495,1500,4015,1435,1755,1185,3360,1975,655,1715,1620,1415,1665,170,1450,1185,845,2155,305,595,5310,1495,1105,1210,1245,865,1005,1015,8730,1305,815,1405,1315,1270,2010,25145,1700,2470,890,1770,2760,2280,1425,2290,1920,575,945,1575,2040
2001,800,1675,3080,1175,1200,1385,5370,785,1170,985,11520,2805,6800,1650,1310,6455,2345,2435,655,940,1205,1530,725,1360,100,1240,2025,660,1030,1485,1475,3835,1400,1700,1155,3455,1945,650,1670,1620,1375,1645,110,1415,1155,840,2100,295,600,5275,1445,1075,1210,1205,865,1000,990,8680,1230,775,1250,1275,1225,1990,25190,1680,2420,865,1695,2665,2235,1420,2560,1540,565,895,1570,2015
2000,795,1450,3005,1165,1190,1395,5325,775,1055,930,11180,2695,6530,1615,1720,6150,2270,2380,640,900,1175,1495,720,1345,100,1225,1975,730,1020,1570,1520,3695,1365,1665,1095,3240,1925,660,1655,1590,1345,1625,50,1285,730,895,2060,295,610,5190,1405,1040,1175,1175,855,985,970,8520,1200,765,1220,1230,1030,1935,24975,1635,2385,845,1600,2565,2180,1625,2690,1310,515,905,1500,2005
1999,785,2315,2960,1110,1175,1190,5240,740,1690,895,10900,2620,6400,1385,45,6105,2720,2340,595,880,1135,1465,710,1295,105,1185,1755,55,1015,1715,1020,3645,1300,1625,1030,2650,1940,630,1590,1535,1330,1595,415,1700,2100,425,1985,295,610,5080,1370,1020,1155,1120,830,965,955,8335,1170,740,1885,1195,1340,1870,24455,1590,2365,835,1550,1630,1835,735,1325,2565,665,890,1455,1965
