Year,Adjuntas,Aguada,Aguadilla,Aguas Buenas,Aibonito,Añasco,Arecibo,Arroyo,Barceloneta,Barranquitas,Bayamon,Cabo Rojo,Caguas,Camuy,Canovanas,Carolina,Cataño,Cayey,Ceiba,Ciales,Cidra,Coamo,Comerio,Corozal,Culebra,Dorado,Fajardo,Florida,Guanica,Guayama,Guayanilla,Guaynabo,Gurabo,Hatillo,Hormigueros,Humacao,Isabela,Jayuya,Juana Diaz,Juncos,Lajas,Lares,Las Marias,Las Piedras,Loiza,Luquillo,Manati,Maricao,Maunabo,Mayaguez,Moca,Morovis,Naguabo,Naranjito,Orocovis,Patillas,Peñuelas,Ponce,Quebradillas,Rincon,Rio Grande,Sabana Grande,Salinas,San German,San Juan,San Lorenzo,San Sebastian,Santa Isabel,Toa Alta,Toa Baja,Trujillo Alto,Utuado,Vega Alta,Vega Baja,Vieques,Villalba,Yabucoa,Yauco
2017,735,2330,2565,1505,2065,1510,6085,1020,1675,1750,6995,1215,5885,2345,1945,5000,855,3205,530,1690,2685,1810,1065,1940,40,1430,1290,1095,605,1700,1305,2045,1680,1910,610,4835,2430,950,1525,2240,775,1585,225,2745,610,740,2840,205,1070,2520,2105,2140,1275,1710,1855,1380,945,5000,1745,710,1065,1090,1365,1160,8935,2480,2135,840,2705,3070,1575,1590,2720,2835,180,1200,3345,1480
2016,785,2515,2765,1565,2185,1585,6515,1095,1810,1830,7580,1285,6320,2500,2085,5390,930,3385,595,1800,2855,1910,1145,2080,50,1580,1390,1165,645,1830,1380,2185,1805,2020,620,5260,2565,1025,1615,2400,845,1665,230,2895,665,810,3115,205,1155,2685,2230,2260,1410,1835,1960,1500,990,5270,1860,770,1145,1145,1480,1250,9800,2650,2265,875,2885,3345,1730,1695,2995,3025,200,1245,3620,1565
2015,780,2590,2865,1635,2240,1640,6740,1110,1865,1905,7880,1315,6515,2570,2165,5695,970,3485,605,1860,2895,1960,1155,2130,45,1645,1425,1230,685,1950,1400,2205,1845,2045,635,5530,2635,1060,1595,2515,895,1710,230,2975,680,855,3270,225,1195,2835,2260,2355,1470,1895,1995,1545,995,5410,1920,780,1220,1165,1515,1290,10330,2720,2360,895,2945,3505,1795,1780,3115,3125,215,1270,3765,1610
2014,770,2620,2925,1695,2290,1605,7045,1150,1935,1975,7975,1345,6715,2565,2320,6135,1185,3655,635,1925,2990,2010,1200,2200,55,1710,1495,1265,705,2480,845,2335,2040,2105,650,4820,2720,1080,1595,2525,940,1790,415,3105,725,875,3405,235,1240,2905,2345,2805,1535,1985,1855,1610,995,5615,2020,780,2100,1220,1675,1315,10560,2765,2445,905,2955,3690,1930,1845,2030,4260,215,1315,3920,1650
2013,780,2610,3030,1740,2400,1705,7250,1145,2030,2020,8395,1380,6970,2760,2275,6150,1030,3785,655,1955,3100,2050,1210,2245,60,1795,1540,1260,725,2040,1460,2315,1960,2155,685,5945,2755,1075,1635,2665,950,1755,240,3190,695,880,3490,235,1295,3000,2365,2395,1610,2005,2030,1665,995,5720,2065,800,1310,1235,1610,1330,11180,2835,2525,900,3020,3735,1895,1885,3400,3325,225,1310,4045,1665
2012,735,2600,3010,1785,2400,1715,7320,1150,2050,2025,8360,1380,7015,2775,2245,6220,1030,3940,675,1955,3100,2015,1180,2225,50,1765,1555,1260,725,2015,1445,2310,1935,2150,680,5955,2735,1025,1585,2630,995,1755,245,3150,680,885,3490,235,1310,3015,2355,2400,1610,1990,2045,1645,1010,5590,2080,790,1320,1225,1595,1300,11200,2760,2500,915,3045,3695,1945,1845,3425,3330,235,1265,4045,1600
2011,670,2510,2885,1720,2365,1665,7095,1085,1995,1975,8050,1345,6790,2700,2145,6115,985,3770,665,1880,2965,1960,1140,2210,50,1735,1540,1240,715,1905,1420,2235,1880,2075,680,5705,2635,985,1480,2490,985,1690,225,2895,655,850,3440,220,1240,3000,2235,2295,1515,1905,1990,1590,945,5345,2025,760,1310,1190,1540,1280,10890,2620,2445,900,2955,3610,1895,1760,3390,3230,235,1230,3850,1575
2010,635,2415,2770,1625,2275,1620,6715,1000,1860,1915,7740,1335,6630,2595,2045,5565,1145,3660,660,1745,2760,1860,1065,2130,50,1675,1495,1170,665,2020,1340,1885,1780,1940,680,5485,2510,925,1365,2395,960,1610,220,2755,635,865,3255,215,1145,2990,2120,2125,1440,1795,1895,1480,900,5105,1970,740,1260,1140,1155,1230,10950,2480,2355,830,2795,3505,1840,1655,3285,3080,235,1140,3575,1495
2009,585,2300,2585,1520,2170,1595,6235,925,1735,1835,7730,1260,6580,2465,1965,5500,885,3460,650,1600,2540,1740,985,1990,45,1575,1450,1105,655,1740,1230,1450,1720,1850,660,5240,2345,850,1260,2230,940,1485,155,2615,610,820,3040,210,1055,2885,2015,1970,1375,1725,1800,1365,850,4515,1880,715,1200,1075,1075,1170,10405,2295,2230,765,2590,3325,1790,1580,3130,2870,220,1030,3380,1380
2008,520,2190,2415,1410,2060,1455,5805,850,1605,1755,6975,1220,5940,2380,1870,5245,1660,3320,630,1495,2300,1645,925,1890,45,1455,1390,1025,625,1440,1065,1755,1660,1750,665,4955,2120,785,1170,2145,905,1400,170,2430,565,780,2860,190,1000,2790,1855,1800,1315,1670,1715,1275,770,4450,1780,675,1040,960,1150,1165,9610,2170,2110,705,2375,2415,1680,1500,1975,3505,355,940,3170,1325
