Year,Adjuntas,Aguada,Aguadilla,Aguas Buenas,Aibonito,Añasco,Arecibo,Arroyo,Barceloneta,Barranquitas,Bayamon,Cabo Rojo,Caguas,Camuy,Canovanas,Carolina,Cataño,Cayey,Ceiba,Ciales,Cidra,Coamo,Comerio,Corozal,Culebra,Dorado,Fajardo,Florida,Guanica,Guayama,Guayanilla,Guaynabo,Gurabo,Hatillo,Hormigueros,Humacao,Isabela,Jayuya,Juana Diaz,Juncos,Lajas,Lares,Las Marias,Las Piedras,Loiza,Luquillo,Manati,Maricao,Maunabo,Mayaguez,Moca,Morovis,Naguabo,Naranjito,Orocovis,Patillas,Peñuelas,Ponce,Quebradillas,Rincon,Rio Grande,Sabana Grande,Salinas,San German,San Juan,San Lorenzo,San Sebastian,Santa Isabel,Toa Alta,Toa Baja,Trujillo Alto,Utuado,Vega Alta,Vega Baja,Vieques,Villalba,Yabucoa,Yauco
2018,2030,4920,7880,3175,3585,4270,13295,2305,2950,2610,29215,7600,19890,4295,5900,23040,2895,6835,1880,2350,4210,4345,1970,3865,270,4220,4970,1995,2685,3975,3960,12805,4660,4335,3295,10705,5095,1700,5055,4660,3880,3855,650,4260,2195,2705,5680,780,1500,13925,4095,2940,3065,3300,2160,2520,2675,22250,3360,2395,3460,3855,3510,5155,57535,4680,6135,2485,6410,10750,7450,3740,5930,5375,1215,2680,4160,5450
2017,1960,4635,7630,3070,3465,4170,12905,2215,2860,2525,28685,7545,19465,4140,5695,22580,2830,6700,1845,2255,4055,4225,1890,3705,275,4065,4930,1910,2645,3835,3860,12525,4475,4215,3230,10350,4925,1625,4920,4515,3815,3655,650,4040,2120,2640,5460,755,1465,13665,3925,2815,3010,3175,2075,2450,2570,21845,3210,2345,3440,3795,3405,5155,56565,4525,5945,2435,6110,10575,7270,3625,5760,5205,1250,2530,3955,5250
2016,1910,4575,7760,3020,3420,4125,13065,2260,2905,2455,28795,7530,19565,4100,5640,22690,2845,6640,1865,2245,3940,4270,1895,3690,280,4060,5030,1940,2715,3850,3875,12330,4440,4215,3220,10370,5020,1605,4870,4490,3785,3635,645,4020,2085,2660,5460,750,1460,13625,3900,2780,3010,3130,2030,2430,2580,21815,3290,2345,3515,3770,3425,5110,56740,4480,6005,2475,5940,10560,7240,3640,5865,5280,1235,2510,3945,5215
2015,1850,4365,7560,2950,3350,4010,12870,2245,2830,2360,28300,7400,19215,3995,5540,22215,2750,6510,1840,2195,3755,4180,1845,3560,275,3970,4990,1835,2690,3700,3825,11970,4265,4185,3185,9990,4895,1555,4720,4320,3725,3515,625,3895,1990,2640,5275,730,1440,13445,3790,2695,2965,3035,1980,2345,2495,21465,3185,2275,3460,3695,3340,5050,55885,4350,5870,2415,5700,10330,7065,3540,5760,5180,1225,2400,3765,5075
2014,1830,4195,7410,2885,3255,3690,12610,2200,2705,2265,27250,7265,18785,3565,5615,23545,3190,6305,1810,2080,3630,4080,1785,3430,270,3840,5005,1805,2655,4545,2525,11865,4215,4120,3155,7080,4840,1485,4585,4125,3655,3435,1135,3725,2050,2550,5165,705,1410,13300,3630,3165,2905,2905,1750,2275,2450,20985,3150,2200,5715,3615,3530,4965,52730,4170,5720,2390,5405,10215,7200,3430,3420,6875,1215,2345,3625,4965
2013,1760,3985,7310,2840,3115,3805,12435,2155,2620,2145,27375,7185,18415,3805,5245,21390,2695,6165,1805,2005,3420,3985,1720,3305,260,3720,4970,1720,2585,3505,3650,11450,3990,4055,3080,9365,4700,1420,4470,4105,3590,3360,555,3625,1935,2505,5090,660,1350,13105,3460,2530,2840,2825,1870,2205,2365,20520,3075,2150,3310,3605,3155,4840,53985,4050,5545,2345,5245,9905,6695,3320,5530,4870,1205,2285,3470,4860
2012,1710,3775,7065,2715,3005,3695,12090,2095,2545,2060,26945,7010,17845,3655,5045,20830,2590,5930,1765,1915,3240,3785,1670,3190,250,3555,4815,1655,2530,3350,3530,11115,3870,3950,2995,8960,4570,1380,4350,3965,3540,3215,525,3470,1835,2435,4910,620,1300,12835,3285,2430,2750,2705,1735,2155,2250,19935,2970,2105,3265,3490,3040,4745,52935,3925,5375,2335,4970,9575,6455,3230,5445,4680,1180,2165,3335,4685
2011,1660,3615,6870,2635,2950,3600,11850,2010,2480,1965,26445,6815,17345,3535,4840,20220,2560,5735,1715,1850,3100,3630,1595,3055,235,3395,4770,1580,2425,3240,3395,10790,3740,3845,2905,8675,4410,1320,4170,3855,3430,3130,500,3325,1780,2360,4805,605,1285,12585,3170,2330,2700,2595,1665,2085,2140,19415,2845,2040,3195,3405,2965,4625,52020,3790,5225,2245,4780,9295,6185,3130,5345,4570,1175,2070,3225,4555
2010,1595,3445,6645,2535,2890,3445,11570,1950,2395,1895,25930,6655,16805,3390,4665,17420,2955,5575,1640,1795,2945,3500,1530,2975,220,3215,4710,1505,2355,3610,3285,9320,3585,3730,2825,8370,4260,1275,3990,3715,3305,3050,470,3185,1710,2270,4665,565,1220,12320,3030,2215,2640,2480,1600,2010,2080,18920,2775,1985,3005,3315,2440,4480,54040,3650,5065,2170,4550,8960,5940,3040,5205,4400,1170,1990,3125,4410
2009,1515,3305,6405,2450,2785,3370,11240,1880,2325,1850,26235,6515,17180,3245,4465,17855,2920,5415,1590,1725,2780,3400,1480,2870,225,3100,4650,1445,2295,3500,3205,6800,3430,3610,2735,8065,4130,1235,3835,3575,3215,2945,355,3090,1620,2170,4550,580,1165,11970,2900,2120,2545,2385,1545,1915,2010,17420,2710,1910,2960,3245,2345,4390,53415,3550,4865,2075,4315,8605,5680,2955,5095,4230,1150,1895,3020,4270
2008,1440,3125,6175,2375,2675,3080,10885,1815,2215,1785,24655,6290,15645,3170,4200,16585,4740,5225,1545,1650,2625,3295,1445,2745,210,2880,4535,1390,2190,3125,2935,8750,3240,3475,2850,7595,3950,1180,3670,3415,3060,2835,370,2945,1585,2090,4405,555,1080,11665,2760,2080,2385,2260,1465,1820,1945,17650,2610,1840,2535,3000,2565,4380,51405,3375,4715,1965,4045,6175,5395,2820,3150,5745,1365,1795,2880,4060
2007,1390,3000,5955,2315,2630,3000,10645,1745,2165,1690,24100,6060,15160,3030,4035,15890,4665,5020,1470,1625,2500,3160,1400,2675,215,2775,4425,1325,2110,3000,2950,8395,3115,3355,2770,7365,3815,1120,3510,3310,2965,2765,370,2800,1540,2045,4350,540,1060,11365,2645,1980,2300,2225,1425,1765,1865,17200,2520,1755,2505,2900,2350,4270,51185,3335,4540,1910,3850,5925,5185,2750,3055,5580,1230,1700,2770,3980
2006,1360,2915,5780,2230,2575,2890,10415,1685,2100,1635,23725,5925,14755,2965,3840,15320,4640,4870,1445,1570,2390,3030,1350,2575,195,2645,4290,1270,2050,3015,2895,8135,2965,3255,2725,6960,3710,1065,3365,3240,2885,2695,350,2720,1465,2015,4250,515,1020,11115,2520,1900,2215,2155,1370,1730,1790,16800,2425,1710,2645,2820,2170,4170,50920,3245,4385,1855,3680,5735,5015,2690,2970,5460,1185,1630,2715,3855
2005,1315,2805,5700,2200,2485,2800,10170,1630,2030,1600,23295,5740,14360,2865,3665,14845,4535,4760,1385,1535,2300,2940,1325,2495,205,2530,4190,1220,2010,3030,2805,7900,2885,3160,2665,6690,3580,1030,3215,3140,2800,2620,315,2645,1415,1925,4160,500,995,11000,2445,1840,2125,2070,1365,1670,1720,16580,2355,1660,2655,2725,2030,4060,50555,3165,4255,1790,3505,5465,4805,2650,2885,5295,1120,1590,2610,3770
2004,1300,2980,5590,2165,2410,2710,10005,1575,2055,1565,23090,5575,14010,2760,2570,14525,4445,4620,1315,1515,2200,2885,1305,2430,205,2435,4095,1075,1940,2780,2705,7780,2770,3050,2540,6745,3495,1000,3095,3075,2705,2555,300,2740,2200,1675,4085,500,980,10875,2345,1790,2085,2025,1340,1655,1685,16360,2255,1610,2640,2650,2270,3940,50660,3065,4090,1735,3400,5250,4585,2315,4340,3695,1090,1575,2575,3685
2003,1290,2860,5420,2110,2330,2620,9760,1525,1980,1500,22545,5385,13635,2655,2470,13955,4340,4425,1275,1475,2100,2780,1265,2300,195,2335,3980,1035,1870,2630,2605,7620,2675,2935,2385,6405,3340,980,3005,3015,2645,2485,280,2655,2125,1615,3900,490,950,10575,2250,1750,2070,1960,1305,1605,1630,16030,2155,1545,2605,2550,2220,3850,50330,2960,3960,1660,3190,5030,4460,2255,4160,3560,1060,1510,2500,3490
