Year,Adjuntas,Aguada,Aguadilla,Aguas Buenas,Aibonito,Anasco,Arecibo,Arroyo,Barceloneta,Barranquitas,Bayamon,Cabo Rojo,Caguas,Camuy,Canovanas,Carolina,Catano,Cayey,Ceiba,Ciales,Cidra,Coamo,Comerio,Corozal,Culebra,Dorado,Fajardo,Florida,Guanica,Guayama,Guayanilla,Guaynabo,Gurabo,Hatillo,Hormigueros,Humacao,Isabela,Jayuya,Juana Diaz,Juncos,Lajas,Lares,Las Marias,Las Piedras,Loiza,Luquillo,Manati,Maricao,Maunabo,Mayaguez,Moca,Morovis,Naguabo,Naranjito,Orocovis,Patillas,Penuelas,Ponce,Quebradillas,Rincon,Rio Grande,Sabana Grande,Salinas,San German,San Juan,San Lorenzo,San Sebastian,Santa Isabel,Toa Alta,Toa Baja,Trujillo Alto,Utuado,Vega Alta,Vega Baja,Vieques,Villalba,Yabucoa,Yauco
2017,450,790,1455,485,390,560,2285,365,495,500,4795,1040,2825,835,865,2950,635,930,260,405,610,635,375,650,25,625,730,350,495,700,710,1980,625,905,375,1465,990,280,810,690,570,800,110,610,365,335,850,105,255,1900,790,500,465,610,420,410,515,3795,595,350,490,565,530,750,8105,775,1155,405,1000,1675,1100,775,880,885,155,485,740,1025
2016,470,795,1545,505,400,570,2405,390,515,515,4975,1090,2945,870,900,3025,665,970,260,430,620,670,385,675,20,640,800,350,500,760,730,2045,640,935,385,1525,1025,300,840,705,570,795,105,625,380,345,905,110,260,1975,815,530,495,620,425,440,515,3910,625,355,520,585,565,770,8520,805,1185,420,1030,1770,1110,810,925,890,170,500,795,1065
2015,475,805,1560,515,420,585,2445,385,530,525,5020,1105,2985,875,920,3070,655,955,260,420,615,655,380,685,25,650,810,345,525,765,720,2045,635,945,400,1550,1055,295,835,710,575,800,110,620,375,350,895,115,270,2015,800,530,515,625,420,450,525,3965,640,340,535,590,560,785,8700,840,1205,430,1035,1775,1120,830,910,885,185,500,820,1070
2014,460,815,1565,505,435,585,2475,385,535,525,5005,1130,3015,815,950,3350,745,970,280,420,620,645,385,680,20,640,845,345,510,900,530,2090,645,935,405,1145,1055,305,840,705,595,800,195,615,390,355,895,115,280,2045,805,660,540,620,375,455,530,4020,635,345,905,610,640,795,8615,835,1240,440,1025,1785,1165,855,535,1150,185,490,815,1090
2013,470,805,1590,505,435,620,2515,380,550,535,5165,1130,3045,875,895,3195,660,985,295,425,620,655,385,685,20,640,860,345,510,755,750,2100,650,940,415,1610,1055,305,845,715,600,825,105,620,380,375,895,120,280,2085,815,515,550,620,430,455,530,4080,650,345,530,630,585,805,9100,860,1240,455,1050,1795,1130,875,940,865,175,495,810,1110
2012,475,805,1620,505,435,625,2565,370,545,530,5160,1135,3095,880,900,3240,670,990,285,430,620,665,400,685,20,645,900,350,525,760,745,2120,655,950,420,1630,1110,300,830,720,605,845,100,620,380,370,915,125,280,2130,810,525,545,625,425,460,545,4100,665,365,520,615,595,810,9290,865,1275,460,1060,1805,1115,900,960,860,175,495,830,1095
2011,460,800,1610,515,445,640,2605,370,545,530,5180,1115,3145,885,900,3285,665,1015,290,435,630,680,390,690,25,645,905,350,520,775,745,2130,645,960,430,1620,1110,320,830,720,620,855,95,610,380,360,930,130,295,2190,810,530,560,610,430,455,540,4125,660,360,540,600,580,825,9500,870,1265,465,1030,1825,1140,900,990,860,180,500,845,1085
2010,460,785,1620,525,435,665,2610,380,540,540,5190,1120,3135,885,905,2860,820,1020,295,440,630,675,390,695,25,635,920,350,520,895,735,1840,650,950,435,1660,1110,305,840,720,620,870,95,600,380,360,930,125,295,2210,815,535,555,600,420,465,540,4130,660,355,550,600,475,815,10230,855,1260,470,1005,1780,1150,895,1000,875,185,475,865,1090
2009,460,790,1605,515,450,685,2620,370,535,540,5475,1115,3295,880,870,2990,750,1015,310,450,625,680,395,695,25,635,915,360,530,905,755,1320,645,935,440,1670,1090,320,845,725,610,880,70,605,375,355,950,120,320,2235,805,530,570,580,425,475,550,3960,660,350,565,625,485,820,10590,835,1250,480,995,1745,1145,885,1015,855,190,475,860,1080
2008,460,795,1600,515,445,670,2615,390,520,540,5220,1110,3125,870,845,2870,1205,1040,305,445,605,680,380,705,20,635,910,370,535,820,715,1870,645,915,475,1670,1080,320,865,715,610,855,90,595,385,345,965,125,320,2295,790,540,550,580,425,480,530,4135,655,345,495,590,570,850,10460,840,1245,470,965,1310,1125,890,660,1195,265,490,850,1080
